 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.367749522,1.59E-10,1.35E-10,2.09E-08,8.23E-10,5.462741175,1.484126104,2.38E-08,1.545657545, 
00:00:01,0.243752705,2.69E-11,2.12E-10,1.14E-08,1.23E-09,7.826992826,2.05963483,1.52E-08,2.054000902, 
00:00:02,0.559937268,1.59E-10,6.23E-10,3.57E-09,3.09E-10,2.744874304,1.513977706,2.63E-08,1.533785052, 
00:00:03,0.490805742,4.79E-11,3.87E-10,1.41E-08,2.13E-09,2.870847617,1.55393289,8.61E-08,1.583772674, 
00:00:04,1.726541034,2.60E-10,7.22E-10,4.81E-07,3.01E-08,3.864144603,1.660660215,1.20E-06,1.737285276, 
00:00:05,2.881684904,1.31E-10,5.86E-10,8.97E-08,2.93E-09,3.033211091,1.591815507,3.95E-07,1.752744041, 
00:00:06,2.638570143,5.63E-10,9.82E-10,1.55E-07,3.54E-09,2.563904761,1.528769821,1.06E-07,1.523864961,in recovery
00:00:07,2.161278597,2.53E-09,2.12E-09,6.17E-07,2.26E-08,4.569866921,1.612086367,1.07E-06,1.752633469,in recovery
00:00:08,0.939382203,7.75E-11,4.22E-10,4.46E-09,1.06E-09,21.50847734,3.478102298,1.07E-08,3.410284129,in recovery
00:00:09,1.175775665,5.05E-11,3.72E-10,6.13E-08,3.93E-09,2.252254577,1.060931315,1.99E-07,1.516366548,in recovery
00:00:10,1.241721908,1.81E-12,5.91E-12,2.54E-08,2.13E-10,1.950964349,1.427608516,1.00E-07,1.486959718,in recovery
00:00:11,2.142618932,4.78E-13,2.26E-13,9.32E-11,4.01E-12,1.895997214,0.942950597,1.19E-09,1.482495101,in recovery
00:00:12,2.155755455,4.07E-13,1.06E-12,6.17E-11,4.98E-12,1.884753803,0.864442812,1.46E-10,1.480980202,in recovery
00:00:13,2.146085876,5.60E-13,4.58E-13,3.36E-11,3.72E-12,1.857726134,0.817717843,1.26E-10,1.473040527,in recovery
00:00:14,2.000288808,4.20E-13,6.68E-13,4.79E-11,2.48E-12,1.930424873,1.143612683,1.43E-10,1.491292673,in recovery
00:00:15,1.764082986,9.06E-14,5.04E-13,1.18E-10,2.35E-12,1.894988205,1.090517786,2.69E-10,1.474553655,in recovery
00:00:16,1.470113058,1.35E-12,1.36E-12,1.82E-10,2.63E-11,4.664988192,1.934247759,7.68E-10,2.957225059,in recovery
00:00:17,1.418746504,1.91E-13,6.64E-13,4.32E-11,1.32E-12,1.922417595,1.181476076,4.43E-10,1.484655364,in recovery
00:00:18,1.497228793,1.30E-13,4.75E-13,4.60E-10,3.40E-12,2.013688815,1.123242374,2.41E-09,1.508337472,in recovery
00:00:19,0.966301126,3.19E-13,3.21E-13,1.28E-11,2.39E-12,2.353357465,1.508058429,2.05E-10,1.502545229,in recovery
00:00:20,0.594023093,2.07E-13,1.97E-13,7.64E-12,1.10E-12,1.949798297,1.443724518,4.38E-11,1.485366517,in recovery
00:00:21,0.326284531,2.25E-13,4.95E-13,1.57E-10,9.49E-13,2.411968573,1.492849899,2.86E-09,1.508122028,in recovery
00:00:22,0.743054263,9.47E-10,2.38E-09,1.08E-07,8.16E-09,4.619131952,1.611423897,2.66E-07,1.821734789,in recovery
00:00:23,0.078480601,3.37E-13,2.27E-13,9.76E-11,2.66E-12,2.569779588,1.315360978,3.23E-10,1.572946781,in recovery
