 ,Raw EEG1,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG1,Raw EEG1,All 0.5-32Hz,Raw EEG1,Raw EEG1
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:02:40,0.053525281,8.11E-13,9.55E-13,1.64E-11,5.96E-13,42.59310624,3.622314307,2.02E-11,3.622314307,Animal 35
00:02:41,0.046793358,2.08E-12,4.33E-13,7.34E-12,4.52E-13,45.84474451,4.114355011,9.64E-12,4.114355011,Animal 35
00:02:42,0.04515351,1.05E-12,1.86E-13,1.05E-11,5.38E-13,49.65394665,1.901435472,8.13E-12,1.901435472,Animal 35
00:02:43,0.053250625,3.64E-12,3.91E-13,4.96E-12,8.67E-13,45.46993077,18.6901099,1.32E-11,18.6901099,Animal 35
00:02:44,0.048396752,1.03E-12,5.71E-13,2.67E-12,6.42E-13,54.30338036,26.45309924,9.79E-12,26.45309924,Animal 35
00:02:45,0.043408958,1.26E-12,4.31E-13,3.39E-12,1.27E-12,40.98237129,3.813628718,1.15E-11,3.813628718,Animal 35
00:02:46,0.044098402,2.27E-12,2.78E-13,5.40E-12,5.07E-13,41.99030385,3.860763057,1.17E-11,3.860763057,Animal 35
00:02:47,0.026317442,1.15E-12,6.12E-13,1.53E-10,1.44E-12,3.347757221,1.6330899,7.80E-11,1.6330899,Animal 35
00:02:48,0.010373238,2.92E-12,5.10E-13,3.98E-11,6.04E-13,29.6766295,1.713996608,1.90E-11,1.713996608,Animal 35
00:02:49,0.015182001,1.75E-12,6.70E-13,4.92E-12,1.73E-12,48.24703859,4.813605464,1.40E-11,4.813605464,Animal 35
00:02:50,0.014895659,2.10E-12,6.33E-13,7.18E-12,9.45E-13,48.22386202,10.11117833,1.37E-11,10.11117833,Animal 35
00:02:51,0.013177575,2.40E-12,4.24E-13,4.55E-11,1.34E-12,40.90425435,1.815396561,3.06E-11,1.815396561,Animal 35
00:02:52,0.010709341,1.00E-12,2.96E-13,7.95E-12,9.60E-13,41.30207706,1.842759581,1.23E-11,1.842759581,Animal 35
00:02:53,0.003694031,2.51E-12,7.11E-13,1.97E-11,7.77E-13,56.29098999,18.84580974,1.80E-11,18.84580974,Animal 35
00:02:54,0.067561251,1.53E-12,1.07E-12,5.15E-10,9.33E-13,2.722448581,1.542127602,1.70E-10,1.542127602,Animal 35
00:02:55,0.100563346,3.43E-12,9.42E-13,8.25E-11,5.81E-13,35.87370828,1.774521552,5.96E-11,1.774521552,Animal 35
00:02:56,0.11591679,8.59E-13,5.56E-13,5.28E-10,5.33E-12,3.560997595,1.567638776,4.67E-10,1.567638776,Animal 35
00:02:57,0.13618359,1.39E-12,2.74E-13,2.32E-11,9.98E-13,30.0144874,1.544895703,1.17E-11,1.544895703,Animal 35
00:02:58,0.084912684,1.86E-12,4.32E-13,4.07E-11,6.14E-13,21.46290426,1.524357421,1.01E-11,1.524357421,Animal 35
00:02:59,0.027598925,7.13E-13,2.40E-13,2.26E-11,7.25E-13,31.81655984,1.587644899,1.65E-11,1.587644899,Animal 35
00:03:00,0.004705371,1.23E-12,2.81E-13,5.99E-12,6.49E-13,50.04235836,6.752689037,1.24E-11,6.752689037,Animal 35
00:03:01,0.005314344,2.32E-12,6.76E-13,1.73E-11,1.67E-12,36.85051834,2.458137682,2.57E-11,2.458137682,Animal 35
00:03:02,0.005555674,2.00E-12,8.91E-13,1.34E-11,4.08E-13,38.06071532,2.500801857,1.48E-11,2.500801857,Animal 35
00:03:03,0.021081127,8.66E-13,2.37E-13,4.31E-11,1.20E-12,27.16618917,1.613914304,4.05E-11,1.613914304,Animal 35
00:03:04,0.035149882,2.22E-12,1.14E-12,2.04E-11,9.42E-13,32.23588728,1.82281826,2.40E-11,1.82281826,Animal 35
00:03:05,0.06218785,3.26E-12,4.87E-13,5.44E-12,8.23E-13,37.1501644,3.391128011,1.18E-11,3.391128011,Animal 35
