 ,Raw EEG1,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG1,Raw EEG1,All 0.5-32Hz,Raw EEG1,Raw EEG1
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:42,0.086726725,2.80E-12,1.47E-12,8.97E-10,4.21E-12,51.10945819,1.766133775,7.40E-10,1.766133775,15:22:20
00:00:43,0.032722753,3.34E-12,2.85E-12,2.67E-10,5.13E-12,51.16207421,1.964401538,1.32E-10,1.964401538,15:22:20
00:00:44,0.018834248,2.71E-12,2.87E-12,1.10E-10,1.81E-11,50.09637657,2.592818234,2.11E-10,2.592818234,15:22:20
00:00:45,0.152519178,2.22E-11,1.62E-11,4.13E-09,6.85E-11,26.12376748,1.364695956,2.57E-09,1.364695956,15:22:20
00:00:46,0.099590226,7.31E-11,1.20E-10,4.64E-09,6.04E-10,14.88454382,2.595293018,8.75E-09,2.595293018,15:22:20
00:00:47,0.15527965,4.69E-11,5.96E-10,2.69E-08,4.75E-10,5.349785281,1.785217059,2.53E-08,1.785217059,15:22:20
00:00:48,0.067173585,3.50E-11,6.26E-11,1.89E-09,2.26E-10,50.07910626,2.87862808,2.84E-09,2.87862808,15:22:20
00:00:49,0.041696347,1.25E-11,2.53E-11,2.89E-09,9.28E-11,50.52354292,5.760211296,6.98E-10,5.760211296,15:22:20
00:00:50,1.353031975,8.37E-09,7.55E-09,7.23E-07,3.68E-08,5.714013222,1.936564862,7.04E-07,1.936564862,15:22:20
00:00:51,2.212697313,2.99E-16,1.12E-16,1.12E-09,2.84E-17,1.900841122,0.774695694,3.65E-09,0.774695694,15:22:20
00:00:52,2.212687647,2.27E-16,4.64E-17,1.61E-10,3.50E-15,1.831567999,0.75507767,5.41E-10,0.75507767,In recovery Animal 35
00:00:53,1.676710295,3.31E-12,1.44E-12,2.62E-08,6.37E-12,2.211108676,1.496771621,3.69E-09,1.496771621,In recovery Animal 35
00:00:54,0.809324355,5.06E-12,2.86E-12,8.36E-10,4.75E-12,2.254221485,1.484155677,3.04E-10,1.484155677,In recovery Animal 35
00:00:55,0.416282973,3.42E-12,7.35E-13,5.39E-10,3.34E-12,2.565368258,1.512927548,6.10E-11,1.512927548,In recovery Animal 35
00:00:56,0.237553377,3.16E-12,2.01E-12,1.62E-10,1.06E-11,3.860626801,1.563198758,1.04E-10,1.563198758,In recovery Animal 35
00:00:57,0.073786355,2.98E-12,1.24E-12,5.08E-11,1.22E-12,3.124956806,1.509449719,1.84E-11,1.509449719,In recovery Animal 35
00:00:58,0.018143322,3.68E-12,2.93E-12,1.66E-10,1.67E-12,9.452866605,1.601058509,1.23E-10,1.601058509,In recovery Animal 35
00:00:59,0.026463982,4.25E-12,2.25E-12,6.95E-11,5.54E-12,37.27918272,5.276463275,4.02E-11,5.276463275,In recovery Animal 35
00:01:00,0.044193028,2.14E-12,9.42E-13,1.52E-11,2.93E-12,31.72166566,1.852058464,2.90E-11,1.852058464,In recovery Animal 35
00:01:01,0.057545386,3.36E-12,9.47E-13,3.85E-11,4.38E-12,39.90117531,3.428262554,5.50E-11,3.428262554,In recovery Animal 35
00:01:02,0.080441942,1.97E-12,3.64E-12,1.32E-10,2.75E-12,12.29981704,1.802685838,1.09E-10,1.802685838,In recovery Animal 35
00:01:03,0.113686961,3.06E-12,1.36E-12,3.85E-11,3.85E-12,30.31882509,1.974347519,4.97E-11,1.974347519,In recovery Animal 35
00:01:04,0.114145435,3.04E-12,4.02E-13,5.25E-11,2.16E-12,42.42240668,2.228661025,2.94E-11,2.228661025,In recovery Animal 35
00:01:05,0.110639516,1.88E-12,7.75E-13,1.26E-10,3.68E-12,12.76391935,1.821793469,1.21E-10,1.821793469,In recovery Animal 35
00:01:06,0.138363357,2.31E-12,1.11E-12,4.43E-11,3.21E-12,19.63665061,1.559376619,4.09E-11,1.559376619,In recovery Animal 35
00:01:07,0.121438584,2.94E-12,2.20E-12,7.50E-11,3.36E-12,27.31481656,1.894275532,4.99E-11,1.894275532,In recovery Animal 35
00:01:08,0.127646182,2.21E-12,3.08E-13,8.38E-11,4.13E-12,30.51548176,2.077359544,1.09E-10,2.077359544,In recovery Animal 35
00:01:09,0.129620695,3.10E-12,2.34E-12,1.55E-10,4.22E-12,22.41038447,1.647291014,1.13E-10,1.647291014,In recovery Animal 35
00:01:10,0.130609857,5.40E-12,6.25E-13,3.70E-11,1.14E-12,34.51412038,2.66702236,2.39E-11,2.66702236,In recovery Animal 35
00:01:11,0.181798531,2.84E-12,9.55E-13,2.20E-10,2.17E-12,3.436504111,1.368991387,9.54E-11,1.368991387,In recovery Animal 35
00:01:12,0.179956607,4.28E-12,9.34E-13,7.22E-11,1.09E-12,17.76770276,1.377835342,2.02E-11,1.377835342,In recovery Animal 35
00:01:13,0.081344327,3.56E-12,9.17E-13,3.01E-10,3.12E-12,10.83873915,1.642811217,1.93E-10,1.642811217,In recovery Animal 35
00:01:14,0.109211967,2.00E-12,2.12E-12,3.07E-10,2.63E-12,7.991594875,1.710230932,1.06E-10,1.710230932,In recovery Animal 35
00:01:15,0.111371104,2.15E-12,2.76E-12,3.39E-10,5.06E-13,2.682508731,1.456857084,9.54E-11,1.456857084,In recovery Animal 35
00:01:16,0.021561674,2.58E-12,7.31E-13,1.40E-10,1.68E-12,8.678526391,1.629449224,9.49E-11,1.629449224,In recovery Animal 35
00:01:17,0.020451192,9.60E-13,7.33E-13,9.05E-11,2.38E-12,8.391284931,1.575323716,9.87E-11,1.575323716,In recovery Animal 35
00:01:18,0.022537463,1.43E-12,4.15E-13,1.79E-11,1.05E-12,43.41999844,2.420201507,2.74E-11,2.420201507,In recovery Animal 35
00:01:19,0.024451728,1.10E-12,4.60E-13,1.35E-10,2.49E-12,28.87986281,1.908825058,7.11E-11,1.908825058,In recovery Animal 35
00:01:20,0.073156774,9.34E-13,6.31E-13,1.89E-10,6.03E-13,2.809130926,1.527232534,6.35E-11,1.527232534,In recovery Animal 35
00:01:21,0.10816892,2.15E-12,6.37E-13,9.42E-11,1.15E-12,21.75262621,1.87771658,1.05E-10,1.87771658,In recovery Animal 35
00:01:22,0.140942912,1.53E-12,3.70E-13,7.56E-11,2.70E-12,25.84796778,1.748299215,6.45E-11,1.748299215,In recovery Animal 35
00:01:23,0.148457317,1.86E-12,4.92E-13,9.01E-11,3.80E-12,7.636568083,1.626648998,4.53E-11,1.626648998,In recovery Animal 35
00:01:24,0.111088555,9.14E-13,1.19E-12,8.34E-12,2.19E-12,31.11488998,1.803169771,1.94E-11,1.803169771,In recovery Animal 35
00:01:25,0.076468041,1.36E-12,3.33E-13,4.44E-11,1.83E-12,39.15259858,2.753214284,6.51E-11,2.753214284,In recovery Animal 35
00:01:26,0.071955298,2.05E-12,2.51E-13,1.86E-10,1.93E-12,4.82193882,1.719326591,1.36E-10,1.719326591,In recovery Animal 35
00:01:27,0.046073743,1.25E-12,4.52E-13,3.68E-11,8.40E-13,30.228747,1.535825501,1.98E-11,1.535825501,In recovery Animal 35
00:01:28,0.007498195,2.31E-12,6.63E-13,7.64E-11,8.50E-13,28.08554752,2.191895534,1.01E-10,2.191895534,In recovery Animal 35
00:01:29,0.027805352,9.02E-13,5.27E-13,4.79E-11,1.62E-12,32.26177979,1.639298785,1.54E-11,1.639298785,In recovery Animal 35
00:01:30,0.03410443,1.58E-12,4.30E-13,1.59E-11,1.21E-12,44.63671726,2.768744456,3.18E-11,2.768744456,In recovery Animal 35
00:01:31,0.031587512,1.24E-12,1.39E-13,3.80E-11,6.92E-13,28.6014491,1.626444485,3.68E-11,1.626444485,In recovery Animal 35
00:01:32,0.015023448,1.40E-12,3.75E-13,3.15E-11,1.33E-12,33.62450724,1.73300381,1.70E-11,1.73300381,In recovery Animal 35
00:01:33,0.009966201,1.14E-12,1.06E-12,4.26E-11,1.93E-12,32.89129954,2.227316787,2.10E-11,2.227316787,In recovery Animal 35
00:01:34,0.016957599,1.33E-12,2.54E-13,8.74E-11,1.14E-12,26.39157385,1.567681958,4.15E-11,1.567681958,In recovery Animal 35
00:01:35,0.036754726,2.19E-12,2.10E-13,4.04E-11,1.05E-12,28.16662924,1.615780748,2.74E-11,1.615780748,In recovery Animal 35
00:01:36,0.039492116,1.44E-12,6.06E-13,2.89E-12,1.54E-12,45.22364496,22.31608029,2.18E-11,22.31608029,In recovery Animal 35
00:01:37,0.033775184,1.18E-12,3.88E-13,2.19E-11,4.87E-13,39.81742976,1.872460666,1.91E-11,1.872460666,video started
00:01:38,0.042967151,1.08E-12,4.23E-13,4.18E-11,1.10E-12,30.28749089,1.617186619,3.66E-11,1.617186619,video started
00:01:39,0.036508634,2.03E-12,3.10E-13,9.35E-12,1.05E-12,51.45508245,3.655926552,2.11E-11,3.655926552,video started
00:01:40,0.042271439,1.63E-12,6.16E-13,3.84E-11,1.05E-12,36.63774501,2.181928792,3.36E-11,2.181928792,video started
00:01:41,0.04526725,9.83E-13,3.94E-13,7.08E-11,1.65E-12,22.351407,1.569896572,5.71E-11,1.569896572,video started
00:01:42,0.027433997,1.37E-12,8.53E-13,2.24E-11,8.92E-13,36.86064335,2.136925944,5.34E-11,2.136925944,video started
00:01:43,0.046611975,1.04E-12,5.98E-13,2.81E-11,1.95E-12,33.08234797,1.655200161,1.64E-11,1.655200161,video started
00:01:44,0.025773243,2.71E-12,7.77E-13,9.71E-11,5.29E-13,19.40810807,1.553809346,8.58E-11,1.553809346,video started
00:01:45,0.014437538,1.25E-12,4.83E-13,4.80E-11,2.91E-12,28.64734948,2.774808136,8.14E-11,2.774808136,video started
00:01:46,0.022362617,2.41E-12,8.23E-13,5.02E-11,2.96E-12,30.99748004,1.77459208,2.11E-11,1.77459208,video started
00:01:47,0.048345663,1.79E-12,6.43E-13,2.94E-12,1.67E-12,44.05421589,7.426054695,2.29E-11,7.426054695,video started
00:01:48,0.041341074,1.41E-12,9.65E-13,5.68E-12,1.52E-12,49.81826899,7.743547685,1.58E-11,7.743547685,video started
00:01:49,0.032459692,2.31E-12,1.20E-12,1.43E-11,1.11E-12,34.63734455,2.969806809,2.10E-11,2.969806809,video started
00:01:50,0.047967788,1.60E-12,1.71E-13,2.08E-10,9.07E-13,2.790090712,1.489467794,5.59E-11,1.489467794,video started
00:01:51,0.062053596,1.70E-12,4.60E-13,3.50E-11,7.19E-13,50.14621462,1.762696649,1.65E-11,1.762696649,video started
00:01:52,0.038111647,1.18E-12,3.77E-13,1.56E-11,2.06E-12,35.06743096,3.485418201,3.93E-11,3.485418201,video started
00:01:53,0.03237724,1.70E-12,3.30E-13,7.96E-11,3.18E-12,7.224934994,1.982391972,9.22E-11,1.982391972,video started
00:01:54,0.013941535,8.69E-13,1.64E-12,7.06E-11,1.50E-12,11.13135661,1.779040517,5.98E-11,1.779040517,video started
00:01:55,0.018470619,1.14E-12,4.32E-13,8.85E-12,3.60E-13,56.42449753,27.93318837,1.04E-11,27.93318837,video started
00:01:56,0.021420346,1.40E-12,4.98E-13,7.80E-12,6.25E-13,38.60407445,2.285103731,2.13E-11,2.285103731,video started
00:01:57,0.045700171,1.07E-12,3.90E-13,3.20E-11,6.13E-13,29.7534513,1.6371763,1.92E-11,1.6371763,video started
00:01:58,0.055410011,1.47E-12,5.00E-13,4.29E-11,9.03E-13,36.39029774,1.798767008,4.33E-11,1.798767008,video started
00:01:59,0.040411026,2.04E-12,4.09E-13,3.17E-11,8.52E-13,33.5653758,1.683876002,2.50E-11,1.683876002,video started
00:02:00,0.039781212,9.00E-13,6.49E-13,1.96E-11,1.22E-12,41.8223699,3.202838827,2.25E-11,3.202838827,video started
00:02:01,0.04192245,3.76E-12,7.72E-13,2.80E-11,9.12E-13,36.59089264,2.26276215,4.22E-11,2.26276215,video started
00:02:02,0.030266122,1.09E-12,1.22E-12,3.69E-11,1.44E-12,31.33921446,2.432612224,5.02E-11,2.432612224,video started
00:02:03,0.032165644,2.31E-12,1.17E-12,1.39E-10,3.43E-12,12.7686048,1.799951961,9.81E-11,1.799951961,video started
00:02:04,0.043184644,1.76E-12,8.15E-13,3.27E-10,2.99E-12,3.363709719,1.633885511,2.60E-10,1.633885511,video started
00:02:05,0.081112536,3.71E-12,1.58E-12,2.03E-10,3.49E-12,6.606658949,1.593096893,1.15E-10,1.593096893,video started
00:02:06,0.108743945,2.51E-12,2.45E-12,3.31E-11,5.83E-12,50.20823903,3.353884423,7.32E-11,3.353884423,video started
00:02:07,0.099768098,3.89E-12,2.12E-12,2.18E-11,1.66E-12,46.54856955,2.867661119,6.93E-11,2.867661119,video started
00:02:08,0.070039055,6.90E-13,8.80E-13,2.88E-11,2.90E-12,43.72028913,1.243874266,7.88E-11,1.243874266,video started
00:02:09,0.069487674,4.75E-12,3.62E-12,1.10E-10,2.86E-12,27.80714427,1.427919787,1.50E-10,1.427919787,Animal 35
00:02:10,0.089393058,3.61E-12,3.21E-12,6.43E-11,4.22E-12,26.85176326,2.250015479,5.98E-11,2.250015479,Animal 35
00:02:11,0.044154013,3.44E-12,3.94E-12,8.49E-10,1.55E-11,3.865932285,1.619856093,4.53E-10,1.619856093,Animal 35
00:02:12,0.023317358,2.07E-12,1.12E-12,7.56E-11,3.53E-12,23.52184538,1.910569394,8.74E-11,1.910569394,Animal 35
00:02:13,0.04162602,1.54E-12,9.83E-13,7.65E-11,2.40E-12,17.27960137,2.148792159,1.17E-10,2.148792159,Animal 35
00:02:14,0.072826078,2.18E-12,1.26E-12,2.43E-11,1.35E-12,42.68508059,2.849682223,4.46E-11,2.849682223,Animal 35
00:02:15,0.062416674,2.54E-12,5.03E-13,8.94E-12,4.50E-13,52.37831265,20.44359755,2.17E-11,20.44359755,Animal 35
00:02:16,0.049635723,3.37E-12,4.13E-12,4.16E-11,3.49E-12,32.21253715,2.434184753,6.84E-11,2.434184753,Animal 35
00:02:17,0.032126243,3.35E-12,8.54E-13,1.03E-10,1.48E-12,14.63110264,1.676665367,8.57E-11,1.676665367,Animal 35
00:02:18,0.010356181,1.38E-12,4.63E-13,4.51E-11,2.89E-13,37.91100739,1.856202702,2.78E-11,1.856202702,Animal 35
00:02:19,0.02071105,1.95E-12,8.22E-13,2.09E-11,1.10E-12,40.2260344,1.74142805,3.16E-11,1.74142805,Animal 35
00:02:20,0.060925153,9.25E-13,7.21E-13,1.44E-10,1.15E-12,3.864200267,1.629282627,1.28E-10,1.629282627,Animal 35
00:02:21,0.077279817,1.33E-12,4.89E-13,6.42E-11,9.23E-13,34.49013639,1.783788129,6.90E-11,1.783788129,Animal 35
