 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:20.5,0.455898046,2.43E-13,4.09E-14,5.94E-11,1.62E-12,2.77970242,1.332777637,9.95E-12,1.660813883,616 back in recovery
00:21.0,0.389011454,1.01E-13,3.93E-14,8.75E-12,1.44E-13,2.781103083,1.333472161,1.68E-11,1.66134928,616 back in recovery
00:21.5,0.289534418,1.76E-13,5.56E-14,1.59E-11,2.80E-13,2.791179497,1.33748552,2.93E-11,1.664816996,616 back in recovery
00:22.0,0.211246621,1.38E-13,9.36E-14,1.34E-10,2.32E-12,2.967128535,1.409954148,1.98E-10,1.72474968,616 back in recovery
00:22.5,0.149805611,1.72E-13,1.26E-13,2.17E-11,1.81E-13,2.830432919,1.355839924,1.28E-11,1.679383144,616 back in recovery
00:23.0,0.1086694,2.20E-13,7.26E-14,4.71E-11,1.68E-12,3.158550396,1.43927623,8.58E-11,1.74877908,616 back in recovery
00:23.5,0.053245144,1.39E-13,3.94E-14,2.66E-11,1.01E-12,3.427002302,1.519190628,2.45E-11,1.81319228,616 back in recovery
00:24.0,0.028450076,2.97E-13,8.95E-14,1.91E-10,5.05E-12,4.197868347,1.982423871,2.70E-10,2.264387119,616 back in recovery
00:24.5,0.018724756,2.22E-13,9.55E-14,2.71E-11,2.17E-13,18.80677565,1.792341437,1.27E-11,2.411069775,616 back in recovery
00:25.0,0.01793571,2.45E-13,2.90E-13,2.98E-11,9.07E-13,3.977158124,1.993188515,3.83E-11,2.198287835,616 back in recovery
00:25.5,0.03720811,1.10E-13,1.90E-13,1.39E-10,5.59E-12,4.570670623,2.652575888,3.22E-10,2.683877972,616 back in recovery
00:26.0,0.043282654,1.36E-13,8.60E-14,3.88E-12,6.27E-13,2.852734707,1.373862881,3.43E-11,1.690441596,616 back in recovery
00:26.5,0.033046122,9.00E-14,1.47E-13,1.28E-11,1.96E-13,3.067878281,1.431779876,1.23E-11,1.738280747,616 back in recovery
00:27.0,0.035057321,7.19E-14,9.61E-14,1.89E-10,3.15E-12,4.715923317,2.897134491,3.30E-10,2.892307784,616 back in recovery
00:27.5,0.040309175,5.60E-14,3.70E-13,2.27E-11,1.45E-12,4.043659532,1.300443838,1.48E-11,1.65354752,616 back in recovery
00:28.0,0.034829293,4.42E-13,4.33E-14,2.48E-11,6.05E-13,3.498930772,1.526050777,2.14E-11,1.816522815,616 back in recovery
00:28.5,0.050485195,6.46E-14,3.75E-13,1.64E-10,5.96E-12,3.783422549,1.627851987,3.42E-10,1.911905626,616 back in recovery
00:29.0,0.017079571,1.63E-13,1.34E-13,1.15E-11,3.26E-13,5.775342122,1.831277702,8.55E-11,2.182661714,616 back in recovery
00:29.5,0.062262416,2.10E-13,1.26E-13,5.87E-11,1.09E-13,2.928880765,1.420322897,1.24E-10,1.729489499,616 back in recovery
00:30.0,0.070031356,1.19E-13,1.19E-13,9.12E-11,2.44E-12,3.539741751,1.558443526,1.23E-10,1.848014625,616 back in recovery
00:30.5,0.090617501,4.33E-14,1.65E-13,2.28E-11,3.78E-13,2.853111862,1.376708895,5.20E-11,1.694386808,616 back in recovery
00:31.0,0.083638453,9.12E-14,1.16E-13,1.22E-11,2.98E-13,2.844863988,1.367205466,1.09E-11,1.687753484,616 back in recovery
00:31.5,0.084734685,7.06E-14,2.54E-13,9.16E-12,4.28E-13,2.828856558,1.356794734,7.61E-12,1.679579509,616 back in recovery
00:32.0,0.093766636,9.56E-14,1.24E-13,7.07E-11,2.89E-12,3.281715587,1.391868056,1.30E-10,1.71829738,616 back in recovery
00:32.5,0.097122296,1.13E-13,3.66E-13,8.34E-12,6.05E-13,2.803955361,1.339119128,1.91E-11,1.666627785,616 back in recovery
00:33.0,0.057067613,6.41E-13,8.18E-14,8.06E-11,7.69E-13,3.728227304,1.854731267,1.63E-10,2.10493451,616 back in recovery
