 ,Raw EEG,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG,Raw EEG,All 0.5-32Hz,Raw EEG, 
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:00:00,0.834596562,3.90E-12,8.01E-12,6.09E-09,1.03E-11,2.464000003,1.459333664,7.37E-09,1.496234948,Anaesthesia Stage 0 Start
00:00:01,1.531030625,3.97E-12,1.77E-12,4.90E-10,5.87E-11,2.653802604,1.531568065,1.03E-08,1.525160309,Anaesthesia Stage 0 Start
00:00:02,2.926595587,8.02E-12,1.54E-11,1.22E-09,1.22E-10,2.179657936,1.450834516,1.86E-09,1.493578375,Anaesthesia Stage 0 Start
00:00:03,3.615532697,2.76E-12,3.02E-12,3.21E-10,2.87E-11,2.557002952,0.742611344,2.47E-09,1.602657981,Anaesthesia Stage 0 Start
00:00:04,3.55782117,6.27E-12,1.16E-11,1.29E-09,2.41E-11,2.630363467,1.416375544,7.03E-09,1.557657263,Anaesthesia Stage 0 Start
00:00:05,3.564210571,6.07E-12,1.97E-11,1.58E-09,1.48E-10,1.952670139,1.010199408,8.14E-09,1.511057756,Anaesthesia Stage 0 Start
00:00:06,4.543106737,2.26E-07,2.70E-07,3.89E-06,7.42E-07,7.383356501,1.880163511,1.10E-05,1.874499218,Anaesthesia Stage 0 Start
00:00:07,5.535405419,9.73E-16,1.99E-16,4.05E-10,4.50E-16,1.816114897,0.750695285,1.40E-08,1.459140375,Anaesthesia Stage 0 Start
00:00:08,5.535368965,6.69E-16,1.75E-16,6.23E-16,2.94E-16,1.814018969,0.750102125,9.68E-13,1.459140436,Anaesthesia Stage 0 Start
00:00:09,5.535383626,9.79E-16,6.70E-16,3.48E-16,4.01E-16,1.813585301,0.750024704,3.17E-15,1.459143085,Anaesthesia Stage 0 Start
00:00:10,5.53537531,9.27E-16,3.82E-16,9.41E-16,6.24E-16,1.813539412,0.750101879,4.96E-15,1.459147592,Anaesthesia Stage 0 Start
00:00:11,5.535364928,5.86E-16,3.74E-16,2.04E-14,5.78E-16,1.813461825,0.749958166,1.02E-11,1.459140716,Anaesthesia Stage 0 Start
00:00:12,5.375158462,1.86E-12,7.69E-12,3.56E-09,1.08E-10,1.950727788,1.080689782,1.24E-08,1.505571835,Anaesthesia Stage 0 Start
00:00:13,3.932128853,1.48E-12,2.18E-12,5.74E-10,9.50E-12,2.383969801,1.458571268,9.51E-10,1.510739637,Anaesthesia Stage 0 Start
00:00:14,2.645368245,1.52E-12,3.62E-12,9.36E-10,2.56E-11,3.073419147,1.319549952,5.25E-09,1.518144205,Anaesthesia Stage 0 Start
00:00:15,1.876392926,3.38E-12,3.19E-12,1.09E-09,2.21E-11,2.546486072,1.528160938,6.70E-09,1.524273645,Anaesthesia Stage 0 Start
00:00:16,1.173419097,1.26E-12,1.68E-12,6.32E-10,1.29E-11,2.435066176,1.514866792,3.96E-09,1.510674816,Anaesthesia Stage 0 Start
00:00:17,0.507405644,7.35E-12,1.11E-12,6.34E-10,2.25E-11,3.343337648,1.69671663,1.31E-09,1.731611776,Anaesthesia Stage 0 Start
00:00:18,0.543647815,1.49E-12,4.84E-12,1.90E-09,2.89E-11,2.626920034,1.409182777,9.05E-09,1.54738659,Anaesthesia Stage 0 Start
00:00:19,0.787674668,6.14E-13,1.47E-12,4.92E-10,1.29E-11,2.583827981,1.470824469,5.74E-09,1.545345152,Anaesthesia Stage 0 Start
00:00:20,0.79822793,6.43E-12,7.40E-12,4.38E-10,3.90E-11,2.893926508,1.460841713,3.37E-09,1.498375434,Anaesthesia Stage 0 Start
